date,amount,description
2024-01-05,45.50,Starbucks coffee
2024-01-08,120.00,Amazon order - headphones
2024-01-10,18.75,McDonald's lunch
2024-01-12,60.00,Uber ride to airport
2024-01-14,999.99,Electronics store - laptop
2024-01-15,35.00,Netflix subscription
2024-01-18,22.50,Grocery store
2024-01-20,8.99,Spotify premium
2024-01-22,250.00,Doctor consultation
2024-01-25,14.99,Pizza delivery
2024-01-28,780.00,Flight ticket - New York
2024-02-01,55.00,Restaurant dinner
2024-02-03,30.00,Pharmacy - medicine
2024-02-05,12.00,Bus pass
2024-02-08,1500.00,Laptop repair - urgent
2024-02-10,45.00,Gym membership
2024-02-12,90.00,Walmart shopping
2024-02-15,22.00,Cinema tickets
2024-02-18,38.50,Supermarket groceries
2024-02-20,15.00,Coursera subscription
